timestamp,source_ip,dest_ip,protocol,action,bytes_transferred,log_type,user_agent,request_path,hour,day_of_week,source_ip_0,source_ip_1,source_ip_2,source_ip_3,dest_ip_0,dest_ip_1,dest_ip_2,dest_ip_3,ua_length,path_length,prediction
2026-05-14 18:49:03.429793,89.45.22.182,10.0.0.1,SSH,failed,4826,WARNING,Hydra,/ssh-login,18,3,89,45,22,182,10,0,0,1,5,10,1
2026-05-14 18:49:03.429793,89.45.22.252,10.0.0.1,SSH,failed,1973,WARNING,Hydra,/ssh-login,18,3,89,45,22,252,10,0,0,1,5,10,1
2026-05-14 18:49:03.429793,89.45.22.167,10.0.0.1,SSH,failed,3776,WARNING,Hydra,/ssh-login,18,3,89,45,22,167,10,0,0,1,5,10,1
2026-05-14 18:49:03.429793,89.45.22.84,10.0.0.1,SSH,failed,4517,WARNING,Hydra,/ssh-login,18,3,89,45,22,84,10,0,0,1,5,10,1
2026-05-14 18:49:03.429793,89.45.22.203,10.0.0.1,SSH,failed,3881,WARNING,Hydra,/ssh-login,18,3,89,45,22,203,10,0,0,1,5,10,1
2026-05-14 18:49:18.982489,89.45.22.151,10.0.0.1,SSH,failed,2453,WARNING,Hydra,/ssh-login,18,3,89,45,22,151,10,0,0,1,5,10,1
2026-05-14 18:49:18.982489,89.45.22.177,10.0.0.1,SSH,failed,1777,WARNING,Hydra,/ssh-login,18,3,89,45,22,177,10,0,0,1,5,10,1
2026-05-14 18:49:18.982489,89.45.22.97,10.0.0.1,SSH,failed,4466,WARNING,Hydra,/ssh-login,18,3,89,45,22,97,10,0,0,1,5,10,1
2026-05-14 18:49:18.982489,89.45.22.1,10.0.0.1,SSH,failed,4904,WARNING,Hydra,/ssh-login,18,3,89,45,22,1,10,0,0,1,5,10,1
2026-05-14 18:49:18.982489,89.45.22.95,10.0.0.1,SSH,failed,4693,WARNING,Hydra,/ssh-login,18,3,89,45,22,95,10,0,0,1,5,10,1
2026-05-14 18:49:24.186404,101.22.3.47,10.0.0.1,HTTPS,allowed,160276,CRITICAL,BotNet,/api/heavy,18,3,101,22,3,47,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.164.50,10.0.0.1,HTTPS,allowed,146244,CRITICAL,BotNet,/api/heavy,18,3,101,22,164,50,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.204.240,10.0.0.1,HTTPS,allowed,102633,CRITICAL,BotNet,/api/heavy,18,3,101,22,204,240,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.33.31,10.0.0.1,HTTPS,allowed,132029,CRITICAL,BotNet,/api/heavy,18,3,101,22,33,31,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.136.248,10.0.0.1,HTTPS,allowed,164351,CRITICAL,BotNet,/api/heavy,18,3,101,22,136,248,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.127.165,10.0.0.1,HTTPS,allowed,96029,CRITICAL,BotNet,/api/heavy,18,3,101,22,127,165,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.211.79,10.0.0.1,HTTPS,allowed,124717,CRITICAL,BotNet,/api/heavy,18,3,101,22,211,79,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.45.82,10.0.0.1,HTTPS,allowed,113381,CRITICAL,BotNet,/api/heavy,18,3,101,22,45,82,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.101.52,10.0.0.1,HTTPS,allowed,145357,CRITICAL,BotNet,/api/heavy,18,3,101,22,101,52,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.177.52,10.0.0.1,HTTPS,allowed,73424,CRITICAL,BotNet,/api/heavy,18,3,101,22,177,52,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.166.103,10.0.0.1,HTTPS,allowed,178752,CRITICAL,BotNet,/api/heavy,18,3,101,22,166,103,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.36.135,10.0.0.1,HTTPS,allowed,88930,CRITICAL,BotNet,/api/heavy,18,3,101,22,36,135,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.154.135,10.0.0.1,HTTPS,allowed,51712,CRITICAL,BotNet,/api/heavy,18,3,101,22,154,135,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.63.47,10.0.0.1,HTTPS,allowed,76064,CRITICAL,BotNet,/api/heavy,18,3,101,22,63,47,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.48.133,10.0.0.1,HTTPS,allowed,116282,CRITICAL,BotNet,/api/heavy,18,3,101,22,48,133,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.96.91,10.0.0.1,HTTPS,allowed,88401,CRITICAL,BotNet,/api/heavy,18,3,101,22,96,91,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.122.2,10.0.0.1,HTTPS,allowed,106195,CRITICAL,BotNet,/api/heavy,18,3,101,22,122,2,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.99.135,10.0.0.1,HTTPS,allowed,137338,CRITICAL,BotNet,/api/heavy,18,3,101,22,99,135,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.32.38,10.0.0.1,HTTPS,allowed,195227,CRITICAL,BotNet,/api/heavy,18,3,101,22,32,38,10,0,0,1,6,10,1
2026-05-14 18:49:24.186404,101.22.120.191,10.0.0.1,HTTPS,allowed,160568,CRITICAL,BotNet,/api/heavy,18,3,101,22,120,191,10,0,0,1,6,10,1
2026-05-14 18:49:30.404585,45.67.89.118,10.0.0.1,HTTP,blocked,13039,ERROR,SQLMap,/login?id=1' OR '1'='1,18,3,45,67,89,118,10,0,0,1,6,22,1
